authorName,authorID,firstname,surname
John Y. Campbell,10001,John,Campbell
Tarun Ramadorai,10002,Tarun,Ramadorai
Benjamin Ranish,10003,Benjamin,Ranish
Satoshi Shimizutani,10004,Satoshi,Shimizutani
Takashi Oshio,10005,Takashi,Oshio
Mayu Fujii,10006,Mayu,Fujii
Julian di Giovanni,10007,Julian,Giovanni
Andrei Levchenko,10160,Andrei,Levchenko
Francesc Ortega,10009,Francesc,Ortega
Ron Alquist,10010,Ron,Alquist
Saroj Bhattarai,10011,Saroj,Bhattarai
Olivier Coibion,10012,Olivier,Coibion
Daron Acemoglu,10013,Daron,Acemoglu
Suresh Naidu,10540,Suresh,Naidu
Pascual Restrepo,10015,Pascual,Restrepo
James A. Robinson,10242,James,Robinson
Eric Helland,10017,Eric,Helland
Darius N. Lakdawalla,10018,Darius,Lakdawalla
Anup Malani,10019,Anup,Malani
Seth A. Seabury,10020,Seth,Seabury
Theodore J. Joyce,10021,Theodore,Joyce
Sean Crockett,10022,Sean,Crockett
David A. Jaeger,10023,David,Jaeger
Onur Altindag,10024,Onur,Altindag
Stephen D. O'Connell,10025,Stephen,O'Connell
Michael Hallsworth,10026,Michael,Hallsworth
John List,10027,John,List
Robert Metcalfe,10028,Robert,Metcalfe
Ivo Vlaev,10029,Ivo,Vlaev
Daan Van Soest,10030,Daan,Soest
Jan Stoop,10031,Jan,Stoop
Haiwen Zhou,10032,Haiwen,Zhou
Patrick Bolton,10033,Patrick,Bolton
Hui Chen,10034,Hui,Chen
Neng Wang,10035,Neng,Wang
Dolan Antenucci,10036,Dolan,Antenucci
Michael Cafarella,10037,Michael,Cafarella
Margaret Levenstein,10038,Margaret,Levenstein
Christopher Ré,10039,Christopher,Ré
Matthew D. Shapiro,10040,Matthew,Shapiro
S. Nageeb Ali,10041,S.,Ali
B. Douglas Bernheim,10042,B.,Bernheim
Xiaochen Fan,10043,Xiaochen,Fan
Ajay K. Agrawal,10044,Ajay,Agrawal
John McHale,10045,John,McHale
Alex Oettl,10046,Alex,Oettl
Saziye P. Akyol,10047,Saziye,Akyol
Kala Krishna,10048,Kala,Krishna
Joseph E. Stiglitz,10049,Joseph,Stiglitz
Sumit Agarwal,10050,Sumit,Agarwal
Gene Amromin,10051,Gene,Amromin
Itzhak Ben-David,10142,Itzhak,Ben-David
Souphala Chomsisengphet,10053,Souphala,Chomsisengphet
Yan Zhang,10054,Yan,Zhang
Rena M. Conti,10055,Rena,Conti
Ernst R. Berndt,10056,Ernst,Berndt
Jason Hockenberry,10920,Jason,Hockenberry
Lorens Helmchen,10058,Lorens,Helmchen
Devin Michelle Bunten,10059,Devin,Bunten
Matthew E. Kahn,10060,Matthew,Kahn
Sébastien Houde,10061,Sébastien,Houde
Casey B. Mulligan,10062,Casey,Mulligan
Joseph P. Newhouse,10063,Joseph,Newhouse
Mary Price,10064,Mary,Price
J. Michael McWilliams,10065,J.,McWilliams
John Hsu,10066,John,Hsu
Thomas McGuire,10728,Thomas,McGuire
Ariel Pakes,10068,Ariel,Pakes
Ran Abramitzky,10069,Ran,Abramitzky
Isabelle Sin,10070,Isabelle,Sin
Nava Ashraf,10071,Nava,Ashraf
Diego Aycinena,10655,Diego,Aycinena
Claudia Martinez,10073,Claudia,Martinez
Dean Yang,10755,Dean,Yang
Vasco M. Carvalho,10075,Vasco,Carvalho
Nico Voigtländer,10554,Nico,Voigtländer
George J. Borjas,10077,George,Borjas
Kirk B. Doran,10078,Kirk,Doran
Gary B. Gorton,10079,Gary,Gorton
Andrew Metrick,10080,Andrew,Metrick
Lei Xie,10081,Lei,Xie
Benjamin E. Hermalin,10082,Benjamin,Hermalin
Michael S. Weisbach,10083,Michael,Weisbach
Aldo Musacchio,10084,Aldo,Musacchio
Andre Martinez,10085,Andre,Martinez
Martina Viarengo,10086,Martina,Viarengo
Luc Behaghel,10087,Luc,Behaghel
Didier Blanchet,10088,Didier,Blanchet
Muriel Roger,10089,Muriel,Roger
Jesper Bagger,10090,Jesper,Bagger
Rasmus Lentz,10091,Rasmus,Lentz
Jeremy Atack,10092,Jeremy,Atack
Matthew S. Jaremski,10499,Matthew,Jaremski
Peter L. Rousseau,10500,Peter,Rousseau
Galina Hale,10095,Galina,Hale
Maurice Obstfeld,10166,Maurice,Obstfeld
Brigham Frandsen,10097,Brigham,Frandsen
James B. Rebitzer,10098,James,Rebitzer
Alain Jousten,10099,Alain,Jousten
Mathieu Lefebvre,10100,Mathieu,Lefebvre
Sergio Perelman,10101,Sergio,Perelman
Chris Forman,10102,Chris,Forman
Avi Goldfarb,10103,Avi,Goldfarb
Shane Greenstein,10104,Shane,Greenstein
Annamaria Conti,10105,Annamaria,Conti
Christopher C. Liu,10106,Christopher,Liu
Simon Gilchrist,10107,Simon,Gilchrist
Jae W. Sim,10108,Jae,Sim
Egon Zakrajšek,10247,Egon,Zakrajšek
Hezekiah Agwara,10110,Hezekiah,Agwara
Philip Auerswald,10111,Philip,Auerswald
Brian Higginbotham,10112,Brian,Higginbotham
Lawrence J. Christiano,10113,Lawrence,Christiano
Martin S. Eichenbaum,10114,Martin,Eichenbaum
Mathias Trabandt,10115,Mathias,Trabandt
Benoît Mojon,10116,Benoît,Mojon
Graciela L. Kaminsky,10117,Graciela,Kaminsky
Pablo Vega-García,10118,Pablo,Vega-García
Florian Scheuer,10119,Florian,Scheuer
Alexander Wolitzky,10120,Alexander,Wolitzky
Jess Benhabib,10121,Jess,Benhabib
Pengfei Wang,10930,Pengfei,Wang
Sherry A. Glied,10123,Sherry,Glied
Kamran Bilir,10124,Kamran,Bilir
Davin Chor,10125,Davin,Chor
Kalina Manova,10126,Kalina,Manova
Dean Karlan,10949,Dean,Karlan
Daniel H. Wood,10128,Daniel,Wood
Hunt Allcott,10129,Hunt,Allcott
Richard Sweeney,10130,Richard,Sweeney
David Neumark,10131,David,Neumark
Helen Simpson,10132,Helen,Simpson
Abhijit Banerjee,10133,Abhijit,Banerjee
Xin Meng,10134,Xin,Meng
Tommaso Porzio,10135,Tommaso,Porzio
Nancy Qian,10136,Nancy,Qian
Ben Mermelstein,10137,Ben,Mermelstein
Volker Nocke,10138,Volker,Nocke
Mark A. Satterthwaite,10139,Mark,Satterthwaite
Michael D. Whinston,10140,Michael,Whinston
Brian Baugh,10141,Brian,Baugh
Hoonsuk Park,10143,Hoonsuk,Park
Thomas C. Buchmueller,10144,Thomas,Buchmueller
Sarah Miller,10145,Sarah,Miller
Marko Vujicic,10146,Marko,Vujicic
Matias Busso,10147,Matias,Busso
Sebastian Galiani,10178,Sebastian,Galiani
Marco Del Negro,10149,Marco,Negro
Marc P. Giannoni,10150,Marc,Giannoni
Frank Schorfheide,10151,Frank,Schorfheide
Michael LeGower,10152,Michael,LeGower
Randall Walsh,10153,Randall,Walsh
Mark Rosenzweig,10154,Mark,Rosenzweig
Junsen Zhang,10155,Junsen,Zhang
Mariacristina De Nardi,10156,Mariacristina,Nardi
Fang Yang,10157,Fang,Yang
Naci H. Mocan,10158,Naci,Mocan
