WID,title,publication_date,paperAbstract,paperYear
20000,Getting Better or Feeling Better? How Equity Investors Respond to Investment Experience | NBER,2014-03-20T12:00:00Z,"Using a large representative sample of Indian retail equity investors, many of them new to the stock market, we show that both years of investment experience and feedback from investment returns have significant effects on investor behavior, favored stock styles, and performance. We identify two channels of feedback: performance relative to the market, and the directly experienced returns to behavior and styles of stock. Both of these vary across investors at a point in time because investors are imperfectly diversified and receive idiosyncratic returns.  We find that experienced investors generally behave in a manner more consistent with the recommendations of finance theory, although this tendency is weakened by strong investment performance.  High trading profits increase turnover, while high returns to equity styles have a short-term negative and a longer-term positive effect on investors' style demands, possibly reflecting the offsetting effects of disposition bias and style chasing.  We document high returns on a portfolio of stocks held by experienced investors, and on individual Indian stocks with an experienced and low-turnover investor base.",2014
20001,"Option Value of Work, Health Status, and Retirement Decisions in Japan: Evidence from the Japanese Study on Aging and Retirement (JSTAR) | NBER",2014-03-20T12:00:00Z,"This study examined the factors that affect the retirement decisions of the middle-aged and elderly in Japan, focusing especially on their earnings, public pension benefits, and health status. Using two-year panel data from the JSTAR and applying the OV model proposed by Stock and Wise (1990a, 1990b), we found that the probability of retirement has a negative and significant correlation with the OV of work, and that correlation does not depend on the health status. Our counter-factual simulation based on the OV model showed that, if the probability of being enrolled in the disability program were zero, the average years of work when individuals are in their 50s and 60s would increase. However, it should be emphasized that, in Japan--where being enrolled in the disability program is unlikely to make one a candidate for the retirement path--the result of this simulation does not indicate that satisfying the eligibility criteria for disability pension receipts will more stringently increase the labor supplied by the middle-aged and elderly.",2014
20002,A Global View of Cross-Border Migration | NBER,2014-03-20T12:00:00Z,"This paper evaluates the global welfare impact of observed levels of migration using a quantitative multi-sector model of the world economy calibrated to aggregate and firm-level data. Our framework features cross-country labor productivity differences, international trade, remittances, and a heterogeneous workforce. We compare welfare under the observed levels of migration to a no-migration counterfactual. In the long run, natives in countries that received a lot of migration - such as Canada or Australia - are better off due to greater product variety available in consumption and as intermediate inputs. In the short run the impact of migration on average welfare in these countries is close to zero, while the skilled and unskilled natives tend to experience welfare changes of opposite signs. The remaining natives in countries with large emigration flows - such as Jamaica or El Salvador - are also better off due to migration, but for a different reason: remittances. The welfare impact of observed levels of migration is substantial, at about 5 to 10% for the main receiving countries and about 10% in countries with large incoming remittances. Our results are robust to accounting for imperfect transferability of skills, selection into migration, and imperfect substitution between natives and immigrants.",2014
20003,Commodity-Price Comovement and Global Economic Activity | NBER,2014-03-20T12:00:00Z,"Guided by a macroeconomic model in which commodity prices are endogenously determined, we apply a new factor-based identification strategy to decompose the historical sources of changes in commodity prices and global economic activity. The model yields a factor structure for commodity prices and identification conditions that provide the factors with an economic interpretation: one factor captures the combined contribution of shocks that affect commodity markets only through general-equilibrium forces. Applied to a cross-section of commodity prices since 1968, the theoretical restrictions are consistent with the data and yield structural interpretations of the common factors in commodity prices. Commodity-related shocks have contributed modestly to global economic fluctuations.",2014
20004,Democracy Does Cause Growth | NBER,2014-03-20T12:00:00Z,"We provide evidence that democracy has a significant and robust positive effect on GDP. Our empirical strategy relies on a dichotomous measure of democracy coded from several sources to reduce measurement error and controls for country fixed effects and the rich dynamics of GDP, which otherwise confound the effect of democracy on economic growth. Our baseline results use a linear model for GDP dynamics estimated using either a standard within estimator or various different Generalized Method of Moments estimators, and show that democratizations increase GDP per capita by about 20% in the long run. These results are confirmed when we use a semiparametric propensity score matching estimator to control for GDP dynamics. We also obtain similar results using regional waves of democratizations and reversals to instrument for country democracy. Our results suggest that democracy increases future GDP by encouraging investment, increasing schooling, inducing economic reforms, improving public good provision, and reducing social unrest. We find little support for the view that democracy is a constraint on economic growth for less developed economies.",2014
20005,Unintended Consequences of Products Liability: Evidence from the Pharmaceutical Market | NBER,2014-03-20T12:00:00Z,"In a complex economy, production is vertical and crosses jurisdictional lines. Goods are often produced by a global or national firm upstream and improved or distributed by local firms downstream. In this context, heightened products liability may have unintended consequences for consumer safety. Conventional wisdom holds that an increase in tort liability on the upstream firm will encourage that firm to improve safety for consumers. However, in the real-world, policy actions in a single jurisdiction may not be significant enough to influence the behavior of an upstream firm that produces for many jurisdictions. Even worse, if liability is shared between upstream and downstream firms, higher upstream liability may decrease the liability of the downstream distributor and encourage it to behave more recklessly. In this manner, higher upstream liability may perversely increase the sales of a risky good. We demonstrate this phenomenon in the context of the pharmaceutical market. We show that higher products liability on upstream pharmaceutical manufacturers reduces the liability faced by downstream doctors, who respond by prescribing more drugs than before.",2014
20006,Does Classroom Time Matter? A Randomized Field Experiment of Hybrid and Traditional Lecture Formats in Economics | NBER,2014-03-20T12:00:00Z,"We test whether students in a hybrid format of introductory microeconomics, which met once per week, performed as well as students in a traditional lecture format of the same class, which met twice per week.   We randomized 725 students at a large, urban public university into the two formats, and unlike past studies, had a very high participation rate of 96 percent. Two experienced professors taught one section of each format, and students in both formats had access to the same online materials.  We find that students in the traditional format scored 2.3 percentage points more on a 100-point scale on the combined midterm and final.  There were no differences between formats in non-cognitive effort (attendance, time spent with online materials) nor in withdrawal from the class. Comparing our experimental estimates of the effect of attendance with non-experimental estimates using only students in the traditional format, we find that the non-experimental were 2.5 times larger, suggesting that the large effects of attending lectures found in the previous literature are likely due to selection bias.  Overall our results suggest that hybrid classes may offer a cost effective alternative to traditional lectures while having a small impact on student performance.",2014
20007,The Behavioralist As Tax Collector: Using Natural Field Experiments to Enhance Tax Compliance | NBER,2014-03-27T12:00:00Z,"Tax collection problems date back to the earliest recorded history of mankind.  This paper begins with a simple theoretical construct of paying (rather than declaring) taxes, which we argue has been an overlooked aspect of tax compliance.  This construct is then tested in two large natural field experiments. Using administrative data from more than 200,000 individuals in the UK, we show that including social norms and public goods messages in standard tax payment reminder letters considerably enhances tax compliance.  The field experiments increased taxes collected by the Government in the sample period and were cost-free to implement, demonstrating the potential importance of such interventions in increasing tax compliance.",2014
20008,On the Role of Group Size in Tournaments: Theory and Evidence from Lab and Field Experiments | NBER,2014-03-27T12:00:00Z,"Both private and public organizations constantly grapple with incentive schemes to induce maximum effort from agents.  We begin with a theoretical exploration of optimal contest design, focusing on the number of competitors.  Our theory reveals a critical link between the distribution of luck and the number of contestants.  We find that if there is considerable (little) mass on good draws, equilibrium effort is an increasing (decreasing) function of the number of contestants.  Our first test of the theory implements a laboratory experiment, where important features of the theory can be exogenously imposed.  We complement our lab experiment with a field experiment, where we rely on biological models complemented by economic models to inform us of the relevant theoretical predictions.  In both cases we find that the theory has a fair amount of explanatory power, allowing a deeper understanding of how to effectively design tournaments.  From a methodological perspective, our study showcases the benefits of combining data from both lab and field experiments to deepen our understanding of the economic science.",2014
20009,"Debt, Taxes, and Liquidity | NBER",2014-03-27T12:00:00Z,"We analyze a model of optimal capital structure and liquidity choice based on a dynamic tradeoff theory for financially constrained firms. In addition to the classical tradeoff between the expected tax advantages of debt and bankruptcy costs, we introduce a cost of external financing for the firm, which generates a precautionary demand for liquidity and an optimal liquidity management policy for the firm. An important new cost of debt financing in this context is an endogenous debt servicing cost: debt payments drain the firm's valuable liquidity reserves and thus impose higher expected external financing costs on the firm. The precautionary demand for liquidity also means that realized earnings are separated in time from payouts to shareholders, implying that the classical Miller-formula for the net tax benefits of debt no longer holds. Our model offers a novel perspective for the ""debt conservatism puzzle"" by showing that financially constrained firms choose to limit debt usages in order to preserve their liquidity. In some cases, they may not even exhaust their risk-free debt capacity.",2014
